"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","class","type"
"1","CCL8","OID05130","P80075","Olink COVID","Time",1,6.97815680957977,6.97815680957977,7.20644317661238,0.0177888741851114,0.0177888741851114,"Significant","50 above","Simulated"
"2","CCL8","OID05130","P80075","Olink COVID","Time",1,7.79029975288735,7.79029975288735,8.09267587590721,0.0129833354761691,0.0129833354761691,"Significant","50 above","Simulated"
"3","CCL8","OID05130","P80075","Olink COVID","Time",1,7.80906931729129,7.80906931729129,8.46987363759117,0.0114073388158247,0.0114073388158247,"Significant","50 above","Simulated"
"4","CCL8","OID05130","P80075","Olink COVID","Time",1,7.85245589295312,7.85245589295312,8.2170318644009,0.012437433475084,0.012437433475084,"Significant","50 above","Simulated"
"5","CCL8","OID05130","P80075","Olink COVID","Time",1,7.89216450268802,7.89216450268802,9.02160733134184,0.00948361522023799,0.00948361522023799,"Significant","50 above","Simulated"
"6","CCL8","OID05130","P80075","Olink COVID","Time",1,8.08186740753127,8.08186740753127,8.26201597733327,0.0122465381872492,0.0122465381872492,"Significant","50 above","Simulated"
"7","CCL8","OID05130","P80075","Olink COVID","Time",1,8.27280302086654,8.27280302086654,8.88799729642433,0.00991259312010431,0.00991259312010431,"Significant","50 above","Simulated"
"8","CCL8","OID05130","P80075","Olink COVID","Time",1,8.32859385225581,8.32859385225581,9.29429324618748,0.00867292697168841,0.00867292697168841,"Significant","50 above","Simulated"
"9","CCL8","OID05130","P80075","Olink COVID","Time",1,8.56098697830163,8.56098697830163,10.0279367560467,0.0068601857004117,0.0068601857004117,"Significant","50 above","Simulated"
"10","CCL8","OID05130","P80075","Olink COVID","Time",1,8.92517783757049,8.92517783757049,10.0915714747398,0.0130617396210604,0.0130617396210604,"Significant","High BMI","Real"
"11","CCL8","OID05130","P80075","Olink COVID","Time",1,9.02289189525336,9.02289189525336,9.97350701219854,0.00697856287553815,0.00697856287553815,"Significant","50 above","Simulated"
"12","CCL8","OID05130","P80075","Olink COVID","Time",1,9.13818128424416,9.13818128424416,10.1018263530144,0.00670317209146012,0.00670317209146012,"Significant","50 above","Real"
"13","CCL8","OID05130","P80075","Olink COVID","Time",1,9.15173550603413,9.15173550603413,9.82196824817599,0.00732075044528859,0.00732075044528859,"Significant","50 above","Simulated"
"14","CCL8","OID05130","P80075","Olink COVID","Time",1,9.1797301012545,9.1797301012545,10.5219038226833,0.00588544613726662,0.00588544613726662,"Significant","50 above","Simulated"
"15","CCL8","OID05130","P80075","Olink COVID","Time",1,9.2966304975655,9.2966304975655,9.97106427973104,0.00698393046591935,0.00698393046591935,"Significant","50 above","Simulated"
"16","CCL8","OID05130","P80075","Olink COVID","Time",1,9.48279915988556,9.48279915988556,10.651500944209,0.00565681922898484,0.00565681922898484,"Significant","50 above","Simulated"
"17","CCL8","OID05130","P80075","Olink COVID","Time",1,9.48409467213193,9.48409467213193,10.2658416906306,0.00636922075268313,0.00636922075268313,"Significant","50 above","Simulated"
"18","CCL8","OID05130","P80075","Olink COVID","Time",1,9.84959963233511,9.84959963233511,10.9685553153183,0.00513934530368849,0.00513934530368849,"Significant","50 above","Simulated"
"19","CCL8","OID05130","P80075","Olink COVID","Time",1,10.1249840287966,10.1249840287966,11.2148617174775,0.00477478549574664,0.00477478549574664,"Significant","50 above","Simulated"
"20","CCL8","OID05130","P80075","Olink COVID","Time",1,16.7488184785745,16.7488184785745,25.9767995486965,0.000263222843405213,0.000658057108513033,"Significant","Low BMI","Real"
"21","CCL8","OID05130","P80075","Olink COVID","Time",1,20.6074159297849,20.6074159297849,26.3056159511976,3.85800446656654e-05,4.82250558320817e-05,"Significant","High BMI","Simulated"
"22","CCL8","OID05130","P80075","Olink COVID","Time",1,22.4421072429294,22.4421072429294,29.8417400105339,1.73135036112147e-05,2.47335765874495e-05,"Significant","High BMI","Simulated"
"23","CCL8","OID05130","P80075","Olink COVID","Time",1,22.4518312107384,22.4518312107384,31.3561672343523,1.24997853184111e-05,2.08329755306852e-05,"Significant","High BMI","Simulated"
"24","CCL8","OID05130","P80075","Olink COVID","Time",1,22.5565601267752,22.5565601267752,28.7963479785287,2.18070141562595e-05,3.63450235937658e-05,"Significant","High BMI","Simulated"
"25","CCL8","OID05130","P80075","Olink COVID","Time",1,22.6792174742544,22.6792174742544,29.1419264656847,2.01944353827587e-05,2.8849193403941e-05,"Significant","High BMI","Simulated"
